step,epoch,train_loss_batch,val_loss,val_rmse,val_mae,val_psnr,val_gdl,val_spectral_ratio,val_ssim
50,1,19252.47265625,38226.249375,10.139614410400391,8.767936096191406,19.470672047332126,0.5196050584316254,0.199761726711219,0.8730486004306361
100,1,12729.587890625,10861.6737890625,5.1433150100708005,3.3576808071136472,25.365700350475635,0.5021201974153519,0.1818368569664449,0.8830529877997191
150,2,10814.2021484375,9627.376015625,4.869634037017822,3.185249090194702,25.841300233987337,0.4882502430677414,0.15580738024976432,0.890112916848282
200,2,9356.3203125,8862.6788671875,4.6817546081542964,3.077447919845581,26.185193231063398,0.48121474802494046,0.13514434352828236,0.8931788445566815
250,3,8896.22265625,8769.83046875,4.641895141601562,3.0483403396606445,26.257052155175085,0.4754325571656227,0.1299685196443735,0.8958632073343478
300,3,8987.341796875,8319.03400390625,4.522276859283448,2.9243229961395265,26.48358453473365,0.472175315618515,0.10689322501720945,0.8976609056735354
350,4,8129.46044921875,7740.50125,4.395811729431152,2.86086594581604,26.729720237375478,0.4676667910814285,0.10009386298469712,0.8994408767974669
400,4,7758.28369140625,7432.151796875,4.304832401275635,2.802401456832886,26.914383644731224,0.4653212946653366,0.09376991320326504,0.9008531077345513
450,5,7237.90966796875,7683.3063671875,4.3465987396240235,2.8769679355621336,26.830361977498345,0.4640508183836937,0.0869144247577913,0.9012714458393887
500,5,7181.1240234375,7110.85943359375,4.221192121505737,2.725508031845093,27.08429401900692,0.46172612607479097,0.08147557786319337,0.9025252632804914
550,6,6916.158203125,7037.26564453125,4.163427629470825,2.6873794746398927,27.20324110152384,0.461569541990757,0.08577078249803083,0.902506676324912
600,6,6935.86767578125,6779.38849609375,4.109420881271363,2.6617884159088137,27.31938972244651,0.4602017107605934,0.08197352642234211,0.903294534744663
650,7,6971.861328125,13474.2743359375,5.800265827178955,4.507282485961914,24.32458310243312,0.46771886259317397,0.12616765241411942,0.8986888216818951
700,7,6263.134765625,7023.2919140625,4.234974546432495,2.808035478591919,27.057635559364602,0.4596197232604027,0.07058005599880897,0.9034142325834094
750,8,6213.1806640625,6882.8217578125,4.149066572189331,2.691791982650757,27.23936307694529,0.4602716758847237,0.08062132453988768,0.9029374238631368
800,8,6571.9033203125,6649.4267578125,4.065989246368408,2.6208189296722413,27.415101237192463,0.4596326819062233,0.07820654871510913,0.9033543903670553
850,9,5900.935546875,6538.91482421875,4.076756734848022,2.6211295700073243,27.386310398999985,0.4589290860295296,0.07222359343899387,0.9037812571314465
900,9,6355.28466796875,8386.04337890625,4.580514240264892,3.1961190700531006,26.38493849365345,0.462190845310688,0.09327098208382875,0.9017045425395964
950,10,6129.4853515625,6626.4781640625,4.094532566070557,2.6320765209198,27.357073810950034,0.46012042492628097,0.07780338209635015,0.903170391458048
1000,10,5670.6826171875,6881.157734375,4.138539333343505,2.6395609283447268,27.27144173828198,0.4601922744512558,0.07299359238169188,0.903076860915654
1050,11,5672.0869140625,6600.53509765625,4.100297222137451,2.6687174797058106,27.33955650738437,0.45909030944108964,0.07163633052350316,0.9037563037495956
1100,11,5292.63818359375,6744.10517578125,4.134959115982055,2.6413068199157714,27.271440503033247,0.4591202810406685,0.07469623970830867,0.9036256548453585
1150,12,5321.02197265625,6696.48017578125,4.154512491226196,2.732210035324097,27.22630617372424,0.45934831857681274,0.06772564841948191,0.9037590356653423
1200,12,5917.9462890625,6688.38673828125,4.131687250137329,2.630608615875244,27.28052245520077,0.46001324713230135,0.07414991476293678,0.9032591374228335
1250,13,5276.462890625,6945.4340625,4.248721675872803,2.8121850299835205,27.038102174148424,0.459328975379467,0.0712100025539445,0.9037517547282238
1300,13,5299.61181640625,6871.6866796875,4.208031930923462,2.691735277175903,27.118201467747937,0.46028664976358413,0.07279018635862673,0.9030944498457437
1350,14,5803.462890625,6826.89107421875,4.197254190444946,2.731023359298706,27.146044700037542,0.4590358981490135,0.072982028547127,0.9037506836803497
1400,14,5241.1044921875,6582.91140625,4.078487968444824,2.576052732467651,27.39900115880667,0.45954573303461077,0.07238279338908349,0.9035327451605053
1450,15,4816.46923828125,6742.47982421875,4.200151538848877,2.7944383811950684,27.133872151642596,0.4591057375073433,0.06832091561735078,0.903907568721888
1500,15,5170.5166015625,6486.07431640625,4.015790967941284,2.5569068717956545,27.53586684486329,0.45974797546863555,0.07935232634462022,0.9033078048013902
